iter	MAE
0	0.5603436981
1	0.5598080734
2	0.5595179288
3	0.5593226831
4	0.5585364589
5	0.5581459484
6	0.5580367859
7	0.557853548
8	0.5576991634
9	0.5573904955
10	0.5570974358
11	0.5569800093
12	0.5564849058
13	0.555897787
14	0.5555793825
15	0.555064941
16	0.5544145236
17	0.5539001196
18	0.5534613806
19	0.5527478656
20	0.5523164501
21	0.5518004394
22	0.551123028
23	0.5508539
24	0.5504704889
25	0.5501917975
26	0.5497039191
27	0.5494944612
28	0.5490336662
29	0.5486169244
30	0.5482201446
31	0.5477301079
32	0.5473082686
33	0.5470734092
34	0.546738572
35	0.5463815393
36	0.5460503605
37	0.5458346848
38	0.5454774213
39	0.5452244073
40	0.5450981421
41	0.5449278631
42	0.5448922281
43	0.5446515416
44	0.5444604777
45	0.5442553214
46	0.5440748312
47	0.5439574129
48	0.5437346634
49	0.5436207983
50	0.5434353478
51	0.543364255
52	0.5431872627
53	0.5430131212
54	0.542892761
55	0.5427555654
56	0.5426527535
57	0.5425246003
58	0.5424521676
59	0.5423979289
60	0.5422668053
61	0.5421488694
62	0.5421050183
63	0.5419805482
64	0.5419274536
65	0.5418931625
66	0.5417667856
67	0.5417329151
68	0.5417099821
69	0.5416023025
70	0.541555548
71	0.5414957188
72	0.5414645096
73	0.5414527644
74	0.5414078499
75	0.5413294697
76	0.5412810105
77	0.5412423986
78	0.5411859137
79	0.5411724654
80	0.5411152036
81	0.5410785923
82	0.5410175756
83	0.5409661991
84	0.5409437264
85	0.5409369373
86	0.5409142505
87	0.5408950106
88	0.5408561447
89	0.5408492134
90	0.5408232441
91	0.540792977
92	0.5407733237
93	0.5407582296
94	0.5407381603
95	0.5407163958
96	0.5406778994
97	0.5406743537
98	0.540663433
99	0.540636839
100	0.5405859203
101	0.540568474
102	0.5405646368
103	0.5405245677
104	0.5404907225
105	0.5404878419
106	0.5404843577
107	0.5404733312
108	0.5404645384
109	0.540446881
110	0.5404444916
111	0.5404310585
112	0.5404178953
113	0.5404120711
114	0.5403782337
115	0.5403694297
116	0.5403653851
117	0.5403485173
118	0.5403205723
119	0.5402843927
120	0.5402797856
121	0.5402565771
122	0.5402511565
123	0.540233147
124	0.5402256541
125	0.540218656
126	0.5401797077
127	0.5401567874
128	0.5401334209
129	0.540119555
130	0.5401158785
131	0.5401134701
132	0.5400902844
133	0.5400366762
134	0.5400305745
135	0.5399811543
136	0.5399722529
137	0.5399561681
138	0.5399358269
139	0.5399098122
140	0.5399060582
141	0.5398875156
142	0.5398659954
143	0.5398559666
144	0.539837997
145	0.5398266496
146	0.5397996729
147	0.5397741643
148	0.5397667735
149	0.5397516464
150	0.5397470229
151	0.5397095556
152	0.5396971545
153	0.5396937522
154	0.5396739483
155	0.5396580052
156	0.5396423481
157	0.5396288792
158	0.5396094924
159	0.5396021344
160	0.5395902074
